,sample_id,OM,ENR,CEC,pH,BpH,Phosphorus,Potassium,Calcium,Magnesium,Sulfur,Sodium,Zinc,Manganese,Iron,Copper,Boron,site_id,collect_date,V2,species
66,CMB25,30.5,150.0,13.3,5.8,6.68,112.0,171.0,1624.0,262.0,19.0,17.0,15.9,56.0,77.0,0.5,0.4,CMB,6/29/2021,0.969494357,syriaca
67,CMB26,24.5,150.0,11.6,5.4,6.6,49.0,172.0,1255.0,183.0,21.0,17.0,16.3,30.0,125.0,0.5,0.3,CMB,6/29/2021,0.998350817,syriaca
68,CMB27,27.2,150.0,8.6,5.3,6.66,71.0,164.0,819.0,159.0,21.0,16.0,14.7,33.0,80.0,0.5,0.3,CMB,6/29/2021,1.0,syriaca
69,CMB28,22.8,150.0,8.0,5.1,6.63,42.0,102.0,749.0,109.0,21.0,15.0,8.7,16.0,79.0,0.4,0.2,CMB,6/29/2021,0.999846434,syriaca
70,SLG1,14.7,150.0,4.6,5.3,6.79,51.0,69.0,473.0,70.0,12.0,14.0,2.9,37.0,67.0,0.5,0.2,SLG,6/28/2021,0.473557148,exaltata
71,SLG2,16.3,150.0,7.5,5.4,6.72,55.0,59.0,842.0,113.0,11.0,15.0,3.7,49.0,59.0,0.5,0.2,SLG,6/28/2021,0.31804617,exaltata
72,SLG3,23.6,150.0,7.6,5.5,6.73,52.0,75.0,899.0,106.0,14.0,16.0,5.8,65.0,94.0,0.6,0.2,SLG,6/28/2021,0.44815706,exaltata
73,SLG4,18.8,150.0,7.3,5.3,6.7,65.0,78.0,780.0,106.0,14.0,15.0,3.9,67.0,93.0,0.6,0.2,SLG,6/28/2021,0.41252699,exaltata
74,SLG5,17.0,150.0,5.2,5.4,6.78,50.0,61.0,556.0,82.0,17.0,15.0,4.7,46.0,85.0,0.5,0.1,SLG,6/28/2021,0.307914727,exaltata
75,SLG6,12.6,150.0,5.2,5.3,6.77,64.0,126.0,495.0,84.0,14.0,16.0,4.2,41.0,90.0,0.5,0.1,SLG,6/28/2021,0.48294375,exaltata
76,SLG8,9.9,150.0,7.9,5.4,6.71,27.0,75.0,862.0,130.0,12.0,16.0,5.3,35.0,105.0,0.6,0.1,SLG,6/28/2021,0.999503515,syriaca
77,SLG10,15.9,150.0,10.0,5.5,6.67,36.0,88.0,1149.0,162.0,10.0,15.0,3.3,58.0,92.0,0.5,0.3,SLG,6/28/2021,0.999994941,syriaca
78,SLG13,11.0,150.0,14.9,6.9,6.91,29.0,119.0,2207.0,400.0,13.0,14.0,1.5,62.0,91.0,0.8,0.7,SLG,6/28/2021,0.869887693,syriaca
79,SLG14,6.8,150.0,15.7,7.3,6.93,25.0,72.0,2669.0,257.0,11.0,13.0,3.5,53.0,88.0,1.5,1.0,SLG,6/28/2021,0.999812032,syriaca
80,SLG15,10.4,150.0,11.3,6.6,6.86,35.0,113.0,1614.0,266.0,10.0,14.0,2.5,44.0,74.0,0.7,0.5,SLG,6/28/2021,0.999837812,syriaca
81,SLG16,6.8,150.0,8.9,6.7,6.89,60.0,81.0,1296.0,208.0,7.0,13.0,2.4,48.0,79.0,0.7,0.4,SLG,6/28/2021,0.999521809,syriaca
82,SLG17,9.4,150.0,15.7,6.8,6.88,76.0,75.0,2427.0,334.0,13.0,13.0,4.1,53.0,118.0,1.5,0.9,SLG,6/28/2021,0.880211753,syriaca
83,SLG18,8.6,150.0,17.4,7.1,6.93,66.0,60.0,2876.0,341.0,12.0,14.0,8.7,66.0,129.0,1.9,1.1,SLG,6/28/2021,0.960833927,syriaca
84,SLG20,5.9,149.0,13.0,7.3,6.93,102.0,91.0,2073.0,269.0,8.0,38.0,4.0,50.0,113.0,1.3,0.8,SLG,6/28/2021,1.0,syriaca
85,SLG21,6.1,150.0,9.8,6.6,6.87,65.0,100.0,1421.0,209.0,11.0,14.0,5.3,47.0,87.0,1.1,0.5,SLG,6/28/2021,0.998071671,syriaca
86,SLG23,7.7,150.0,14.7,7.1,6.93,74.0,89.0,2318.0,335.0,12.0,14.0,5.1,56.0,131.0,1.8,1.0,SLG,6/28/2021,0.999999515,syriaca
87,LFS1,27.0,150.0,14.1,5.0,6.35,148.0,101.0,1370.0,139.0,29.0,15.0,15.9,49.0,105.0,0.7,0.5,LFS,6/28/2021,0.331716367,exaltata
88,LFS2,45.2,150.0,20.4,5.9,6.58,138.0,109.0,2764.0,326.0,22.0,16.0,44.6,96.0,104.0,1.2,0.8,LFS,6/28/2021,0.198886866,exaltata
89,LFS3,26.8,150.0,21.7,5.9,6.56,116.0,143.0,2940.0,348.0,21.0,15.0,40.8,115.0,109.0,1.4,0.8,LFS,6/28/2021,0.221165635,exaltata
90,LFS4,29.0,150.0,18.0,5.5,6.47,101.0,123.0,2251.0,207.0,32.0,20.0,20.5,94.0,122.0,0.8,0.8,LFS,6/28/2021,1.46e-06,exaltata
91,LFS5,26.6,150.0,20.3,5.5,6.41,101.0,113.0,2529.0,253.0,22.0,15.0,26.2,50.0,70.0,0.7,0.7,LFS,6/28/2021,0.060469465,exaltata
