site_id,sample_id,Species,Ht(cm),# Leaves,Length LL (cm),Width LL (cm),Stem Diameter (mm),# Inflorescences,# Flowers Per (x2),Herbivory,date
BLD,BLDTT49,,,,,,,,,,6/30/2020
BLD,BLDTT50,,72.2,16,13.7,6,9.5,3,"34(3), 10(1)",1=7,6/30/2020
BLD,BLDTT50,,,,,,,,,,6/30/2020
BLD,BLDTT51,,86.8,18,14.6,7.4,10.8,4,"11(6), 12(4)","1=5, 2=2",6/30/2020
BLD,BLDTT51,,,,,,,,,,6/30/2020
BLD,BLDTT52,,89.6,22,16.2,7.4,12.9,4,"54(3), 65(1)",1=3,6/30/2020
BLD,BLDTT52,,,,,,,,,,6/30/2020
BLD,BLDRV0,,50.9,11,12.2,4,5.6,0,,2=6,6/30/2020
BLD,BLDRV1,,81.7,16,14.1,6.7,11.5,3,"18(5), 15(2)","1=7, 2=1",6/30/2020
BLD,BLDRV2,,79,19,14.5,6.8,11.7,2,"8(2), 17(5)",1=8,6/30/2020
BLD,BLDRV3,,71.5,16,14,6.3,8.9,1,9(1),"1=4, 2=3",6/30/2020
BLD,BLDRV4,,61.8,10,13.3,6.5,8.1,2,"35(6), NA(7)","1=3, 2=2, 3=1",6/30/2020
BLD,BLDRV5,,86,18,13.5,6.3,12.6,3,"20(5), 14(2)","1=3, 2=2",6/30/2020
BLD,BLDRV6,,71.1,17,14.7,7,11.5,0,,"1=9, 2=2",6/30/2020
BLD,BLDRV7,,23.4,5,6.8,2.5,2.6,0,,"2=1, 3=1",6/30/2020
BLD,BLDRV8,,65.2,14,13.5,5.9,10.7,0,,"1=5, 2=6",6/30/2020
BLD,BLDRV9,,43.8,10,8,4.8,5.5,0,,"1=6, 2=3, 3=1",6/30/2020
BLD,BLDRV10,,86,16,15.2,7.3,12,5,"17(7), 7(6)","1=4, 2=2",6/30/2020
BLD,BLDRV11,,37.5,7,9.5,3.3,4,0,,"1=3, 2=4",6/30/2020
BLD,BLDRV12,,79.6,15,14.7,7.4,13.3,4,"14(7), 18(6)","1=6, 2=5",6/30/2020
BLD,BLDRV13,,61.7,15,13.8,5.9,7.4,0,,"1=7, 2=6",6/30/2020
BLD,BLDRV14,,77.6,16,14,5.9,8.9,1,10(1),"1=12, 2=3",6/30/2020
BLD,BLDRV15,,66.4,15,12.4,5.5,7.1,0,,"1=5, 2=10",6/30/2020
BLD,BLDRV16,,71.5,16,14,5.7,9.6,5,"NA(7), 24(0)","1=7, 2=6",6/30/2020
BLD,BLDRV17,,49,9,10.9,4.9,4.5,0,,"1=2, 2=6, 3=1",6/30/2020
BLD,BLDRV18,,67.5,20,14.6,5.9,8.3,0,,"1=9, 2=3",6/30/2020
BLD,BLDRV19,,105.9,26,18.5,8.8,14.6,8,"14(5), 27(1)","1=11, 2=2",6/30/2020
BLD,BLDRV20,,28.2,9,10.8,4,4.2,0,,"1=2, 2=3",6/30/2020
BLD,BLDRV21,,58.8,18,12.8,5.4,6.5,0,,"1=9, 2=2, 3=1",6/30/2020
BLD,BLDRV22,,90.2,17,15.5,7.2,11.5,3,"44(0), 20(0)",1=6,6/30/2020
BLD,BLDRV23,,17.3,4,5.1,1.8,1.5,0,,,6/30/2020
BLD,BLDRV24,,44.2,7,8.1,4.6,3.7,0,,"1=1, 2=4, 3=1",6/30/2020
BLD,BLDRV25,,97.8,19,15.6,7.3,11.5,6,"27(7), NA(7)",1=5,6/30/2020
BLD,BLDRV26,,77.5,18,13.2,5.3,8.7,0,,1=5,6/30/2020
BLD,BLDRV27,,57.7,12,16,7,7.5,0,,"1=8, 2=1",6/30/2020
BLD,BLDRV28,,119.1,26,18,8,10,4,"45(1), 42(0)","1=7, 2=1",6/30/2020
BLD,BLDRV29,,84.4,19,14.2,5.6,11.3,2,"NA(7), NA(7)","1=7, 4=1",6/30/2020
BLD,BLDRV30,,69.9,18,15.2,5.8,9,0,,"1=2, 2=2",6/30/2020
SKY,SKYT10,,113.2,23,19.2,10.6,14,5,"51(5), 52(3)",1=7,7/1/2020
SKY,SKYT11,,98.2,20,17.7,9.1,11.2,5,"62(5), 51(3)",1=3,7/1/2020
SKY,SKYT12,,110.1,22,20.4,10,12.9,6,"44(5), 50(5)","1=1, 2=1",7/1/2020
SKY,SKYT13,,85.8,18,16.4,7.9,10.1,4,"61(5), 75(5)","1=3, 2=1",7/1/2020
SKY,SKYT14,,32.8,8,9.6,3,2.5,0,NA,None,7/1/2020
SKY,SKYT15,,100.1,23,18.4,9.4,12.3,6,"46(3), 45(1)",1=4,7/1/2020
