sample_id,site,OM,ENR,CEC,pH,BpH,Phosphorus,Potassium,Calcium,Magnesium,Sulfur,Sodium,Zinc,Manganese,Iron,Copper,Boron
1 BLDTT3,BLDTT,5.6,147,10.2,7,6.93,16,249,1498,247,5,8,3.1,328,70,1.5,0.8
1 BLDTT30,BLDTT,5.3,150,4.4,5.7,6.84,22,165,476,83,11,9,2.4,245,167,1.9,0.3
1 BLDTT31,BLDTT,5.1,147,3.8,6,6.87,14,61,510,56,6,9,1.3,193,116,1,0.3
1 BLDTT32,BLDTT,3.8,117,6.4,6,6.83,20,136,851,90,16,11,2.4,273,191,2,0.5
1 BLDTT33,BLDTT,5.1,143,6.5,5.9,6.82,17,99,869,97,9,9,2,232,181,1.8,0.4
1 BLDTT34,BLDTT,5.3,148,5.8,6,6.84,14,165,736,96,10,9,2.3,253,211,2,0.5
1 BLDTT35,BLDTT,5.4,150,5.8,5.7,6.81,17,173,669,88,6,7,2.1,199,169,1.8,0.5
1 BLDTT36,BLDTT,5,142,5.9,6,6.84,13,195,703,116,6,10,1.9,186,169,1.8,0.4
1 BLDTT37,BLDTT,3.6,115,5.1,5.9,6.84,13,163,584,97,2,11,1.9,165,161,1.5,0.4
1 BLDTT38,BLDTT,5.1,142,7.2,5.9,6.81,15,191,887,122,7,8,2.5,176,174,2.2,0.5
1 BLDTT39,BLDTT,5.6,150,7.6,5.6,6.75,12,140,861,136,3,7,2.1,105,132,1.8,0.4
1 BLDTT4,BLDTT,5.4,145,9.1,6.9,6.92,13,143,1284,266,8,9,3,324,84,1.8,0.7
1 BLDTT40,BLDTT,5.3,146,7.3,5.7,6.78,13,276,749,151,12,9,1.7,105,138,1.6,0.3
1 BLDTT41,BLDTT,3.2,102,8.3,6,6.8,13,311,914,192,4,8,1.8,104,131,1.6,0.5
1 BLDTT42,BLDTT,4.1,121,7.9,5.8,6.78,11,186,906,166,3,8,2,97,122,1.9,0.4
1 BLDTT43,BLDTT,4.6,132,7.3,5.7,6.78,12,210,787,153,1,8,1.6,87,109,1.3,0.4
1 BLDTT44,BLDTT,5.3,144,8.3,6.2,6.83,13,317,1035,150,6,7,1.8,91,74,1.6,0.5
1 BLDTT45,BLDTT,5.2,143,7.8,5.6,6.75,15,191,844,150,12,9,1.9,98,122,1.3,0.3
1 BLDTT46,BLDTT,5.4,142,11.4,6.6,6.86,14,135,1696,218,8,7,2.8,218,66,1.2,0.8
1 BLDTT5,BLDTT,3.2,102,8.3,6,6.8,7,146,996,196,5,9,1.5,153,84,1.2,0.4
1 BLDTT6,BLDTT,3.5,111,6.5,6.6,6.89,11,155,837,176,5,9,1.2,131,73,1.1,0.3
1 BLDTT7,BLDTT,3.1,104,5.4,6,6.85,8,104,668,111,1,9,0.9,115,66,0.8,0.2
1 BLDTT8,BLDTT,3.6,113,6.6,6,6.83,8,110,852,118,5,9,1.2,131,75,1,0.2
1 BLDTT9,BLDTT,2.89,101,4.8,6,6.86,11,113,627,74,5,7,1.1,112,61,0.9,0.2
1BLDTT1,BLDTT,4.8,132,9.5,6.8,6.9,14,158,1375,226,4,9,2.5,310,89,1.5,0.7
8 BLDTT0,BLDTT,5.5,144,11.5,6.9,6.91,19,243,1615,309,7,8,3.4,339,92,1.6,0.8
8 BLDTT10,BLDTT,4.9,138,7.2,6.2,6.84,25,206,859,173,9,8,2,88,86,1.1,0.3
8 BLDTT11,BLDTT,5.5,149,7.4,6.6,6.89,22,188,947,214,7,9,1.9,87,73,0.9,0.5
8 BLDTT12,BLDTT,5.2,145,6.4,6.1,6.84,26,224,786,112,5,7,1.8,72,66,0.9,0.3
8 BLDTT13,BLDTT,5,139,7.8,6,6.81,25,320,827,187,11,10,2.3,88,90,1.2,0.3
8 BLDTT14,BLDTT,5.2,144,7.3,5.8,6.79,25,192,813,157,10,9,2.9,57,86,1.1,0.3
8 BLDTT15,BLDTT,5.5,148,8.6,6.3,6.84,21,291,1017,221,5,9,2.2,96,80,0.9,0.5
8 BLDTT16,BLDTT,5.3,142,9.5,6.1,6.8,15,193,1183,212,11,9,2.2,200,83,1.2,0.6
8 BLDTT17,BLDTT,5,138,8.5,6.3,6.84,15,237,988,240,9,9,2.2,145,92,1.4,0.4
8 BLDTT18,BLDTT,5.2,144,7.3,5.8,6.79,22,154,821,167,7,9,2.6,100,111,1.4,0.4
8 BLDTT19,BLDTT,5.5,147,9,6.4,6.85,20,321,1097,217,6,9,2.6,100,88,1.2,0.5
8 BLDTT2,BLDTT,5.9,150,9.3,6.3,6.83,24,180,1194,221,10,9,3.2,298,92,1.3,0.6
8 BLDTT20,BLDTT,4.7,134,7.1,6.2,6.84,21,243,838,160,6,10,3,98,108,1.3,0.4
8 BLDTT21,BLDTT,6,150,8.3,6.6,6.88,16,335,1028,214,12,9,3.8,147,112,1.5,0.5
8 BLDTT22,BLDTT,5.6,150,6.8,6.1,6.84,20,218,824,141,8,10,2.2,119,120,1.2,0.4
8 BLDTT23,BLDTT,5.9,150,7.1,5.9,6.81,21,200,866,123,10,8,2.4,115,124,1.6,0.4
8 BLDTT24,BLDTT,6.1,150,7.3,5.8,6.79,26,157,848,148,8,9,2.6,151,145,1.6,0.4
8 BLDTT25,BLDTT,4.8,138,5.7,5.9,6.83,25,275,651,85,9,7,2.2,146,119,1.7,0.4
