Species,Site,Organic_Matter,pH,Phosphorus,Potassium,Calcium,Magnesium,Sulfur,Sodium,Zinc,Manganese,Iron,Copper,Boron
syriaca,RF,13.6,5.8,84,191,1219,298,15,14,5.9,132,113,1.1,0.4
syriaca,RF,12.8,5.6,69,133,1346,248,11,14,4.7,180,110,1,0.4
syriaca,PNR,8.7,6.4,12,92,1647,238,8,13,5,265,102,0.9,0.7
syriaca,PNR,4.4,7.7,7,56,3478,139,9,15,1.6,43,72,1,0.6
syriaca,PNR,4.7,7.6,6,50,3862,144,10,15,1.5,35,95,1.4,0.6
syriaca,PNR,5.8,7.7,21,78,3777,155,12,13,3.7,98,92,1.1,1.1
syriaca,PNR,3.6,7.7,8,42,3472,143,13,13,2.5,51,135,1.2,0.7
syriaca,RF,9.1,5.4,65,110,522,118,18,15,4.5,120,141,1.2,0.2
syriaca,RF,13.1,5.1,75,160,1151,272,16,15,4.1,154,119,0.9,0.4
syriaca,RF,13.3,5,55,135,1148,254,16,15,4.4,151,112,0.9,0.4
syriaca,RF,15,5.2,57,110,982,218,14,15,5.3,164,123,0.8,0.4
